,game id*,date,balls*,strikes*,visiting team*,batting team*,batter_last_name,batter_first_name,res batter*,res batter hand*,pitcher_last_name,pitcher_first_name,res pitcher*,res pitcher hand*
394,BOS202107220,2021-07-22,2,2,NYA,away,Brantly,Robert Jacob,branr002,L,Ottavino,Adam Robert,ottaa001,R
402,BOS202107220,2021-07-22,0,2,NYA,home,Vazquez,Christian Rafael,vazqc001,R,Green,Chad Keith,greec003,R
410,BOS202107220,2021-07-22,1,2,NYA,away,Stanton,Giancarlo Cruz-Michael,stanm004,R,Barnes,Matthew David,barnm001,R
416,BOS202107220,2021-07-22,3,2,NYA,home,Martinez,Julio Daniel,martj006,R,Kriske,Brooks Joseph,krisb001,R
419,BOS202107230,2021-07-23,0,2,NYA,away,Stanton,Giancarlo Cruz-Michael,stanm004,R,Rodriguez,Eduardo Jose (Hernandez),rodre004,L
422,BOS202107230,2021-07-23,2,2,NYA,home,Duran,Jarren William,duraj001,L,Cole,Gerrit Alan,coleg001,R
424,BOS202107230,2021-07-23,3,2,NYA,home,Devers,Rafael Calcano,dever001,L,Cole,Gerrit Alan,coleg001,R
428,BOS202107230,2021-07-23,0,2,NYA,away,Gittens,Christopher Ryan,gittc001,R,Valdez,Phillips Chalier,valdp002,R
430,BOS202107230,2021-07-23,2,2,NYA,away,Allen,Gregory Lomack,alleg002,L,Valdez,Phillips Chalier,valdp002,R
431,BOS202107230,2021-07-23,1,2,NYA,away,LeMahieu,David John,lemad001,R,Valdez,Phillips Chalier,valdp002,R
432,BOS202107230,2021-07-23,0,2,NYA,home,Martinez,Julio Daniel,martj006,R,Cole,Gerrit Alan,coleg001,R
433,BOS202107230,2021-07-23,1,2,NYA,home,Verdugo,Alex Brady,verda001,L,Cole,Gerrit Alan,coleg001,R
438,BOS202107230,2021-07-23,2,2,NYA,away,Sanchez,Gary,sancg002,R,Valdez,Phillips Chalier,valdp002,R
443,BOS202107230,2021-07-23,3,2,NYA,home,Bogaerts,Xander Jan,bogax001,R,Cole,Gerrit Alan,coleg001,R
444,BOS202107230,2021-07-23,3,2,NYA,home,Devers,Rafael Calcano,dever001,L,Cole,Gerrit Alan,coleg001,R
445,BOS202107230,2021-07-23,3,2,NYA,away,Torres,Gleyber David,torrg001,R,Valdez,Phillips Chalier,valdp002,R
446,BOS202107230,2021-07-23,3,2,NYA,away,Gardner,Brett M.,gardb001,L,Valdez,Phillips Chalier,valdp002,R
448,BOS202107230,2021-07-23,3,2,NYA,away,LaMarre,Ryan M.,lamar001,R,Valdez,Phillips Chalier,valdp002,R
452,BOS202107230,2021-07-23,1,2,NYA,home,Vazquez,Christian Rafael,vazqc001,R,Cole,Gerrit Alan,coleg001,R
453,BOS202107230,2021-07-23,0,2,NYA,away,Allen,Gregory Lomack,alleg002,L,Rios,Yacksel,riosy001,R
